Year,Country,EPU
2009,SCMP CHN,127.6239198875
2010,SCMP CHN,98.8881721958333
2011,SCMP CHN,170.6363516925
2012,SCMP CHN,244.398295033333
2013,SCMP CHN,113.897361158333
2014,SCMP CHN,123.634880611667
2015,SCMP CHN,181.286651608333
2016,SCMP CHN,364.832787333333
2017,SCMP CHN,363.873982075
2018,SCMP CHN,460.469809875
2019,SCMP CHN,791.873747741667
2020,SCMP CHN,747.855783
2021,SCMP CHN,508.89471965
2022,SCMP CHN,716.923569258333
1996,Mainland CHN,
1997,Mainland CHN,105.601840169167
1998,Mainland CHN,193.159064865
1999,Mainland CHN,236.71758945
2000,Mainland CHN,35.5664981791667
2001,Mainland CHN,43.69204509
2002,Mainland CHN,53.5124662541667
2003,Mainland CHN,60.1441732525
2004,Mainland CHN,51.5438698808333
2005,Mainland CHN,51.8946068616667
2006,Mainland CHN,57.8854840575
2007,Mainland CHN,50.4433799266667
2008,Mainland CHN,104.555512844167
2009,Mainland CHN,122.1677632975
2010,Mainland CHN,110.943374468333
2011,Mainland CHN,125.715055226667
2012,Mainland CHN,124.335536709167
2013,Mainland CHN,106.233496781667
2014,Mainland CHN,95.4868369716667
2015,Mainland CHN,92.1142078066667
2016,Mainland CHN,129.313867891667
2017,Mainland CHN,206.6387024
2018,Mainland CHN,277.813122083333
2019,Mainland CHN,363.358617375
2020,Mainland CHN,390.387972075
2021,Mainland CHN,280.29736365
2022,Mainland CHN,314.892329533333
1996,SWE,105.682157469167
1997,SWE,106.243881055
1998,SWE,111.875204303333
1999,SWE,97.217425955
2000,SWE,76.2097500633333
2001,SWE,81.2327842408333
2002,SWE,87.861589475
2003,SWE,86.4802671
2004,SWE,75.352307965
2005,SWE,65.2168042991667
2006,SWE,79.2608424475
2007,SWE,68.4000238833333
2008,SWE,94.1413005383333
2009,SWE,82.6131538466667
2010,SWE,89.126253355
2011,SWE,105.664432298333
2012,SWE,98.3893538508333
2013,SWE,95.9776458991667
2014,SWE,107.31771613
2015,SWE,103.53091969
2016,SWE,107.980807628333
2017,SWE,100.579097679167
2018,SWE,111.01773215
2019,SWE,104.525053225
2020,SWE,115.801087871667
2021,SWE,101.5892334625
2022,SWE,123.95248185
1996,MEX,130.733857789167
1997,MEX,131.841110175833
1998,MEX,226.626676875
1999,MEX,152.895120865833
2000,MEX,128.894065715
2001,MEX,165.555102569167
2002,MEX,160.086323775
2003,MEX,202.307802828333
2004,MEX,93.7979653583333
2005,MEX,80.777991365
2006,MEX,61.6043897591667
2007,MEX,60.3150475634167
2008,MEX,81.3923693283333
2009,MEX,78.7253586591667
2010,MEX,70.2674352908333
2011,MEX,66.6106306716667
2012,MEX,53.977195115
2013,MEX,44.3993133266667
2014,MEX,27.0009143175
2015,MEX,32.503436105
2016,MEX,49.6878921491667
2017,MEX,64.6760682525
2018,MEX,68.8537205933333
2019,MEX,94.0037485658333
2020,MEX,93.49534778
2021,MEX,71.7360260616667
2022,MEX,73.9822640625
